pname,pmass,pradius
WASP-81 b,231.696612,16.017661
TRAPPIST-1 f,0.6801519199999999,1.042437
EPIC 249893012 b,8.74980484,1.9503659999999998
HATS-60 b,210.40213599999998,12.923977
WASP-187 b,254.26239999999999,18.382759999999998
K2-141 b,5.07889144,1.513215
HAT-P-1 b,166.8597,14.784671
CoRoT-6 b,940.7708799999999,13.069693999999998
HAT-P-31 b,721.46956,12.21781
Kepler-80 b,6.9286503999999995,2.6677419999999996
Kepler-223 b,7.399035839999999,2.992803
Kepler-37 d,12.20141692,1.9391569999999998
KOI-12 b,349.6108,13.78707
OGLE2-TR-L9 b,1430.2259999999999,18.046490000000002
HATS-66 b,1694.02324,15.815899
TOI-561 e,15.999461519999999,2.6677419999999996
HATS-42 b,597.5166399999999,15.692599999999999
WASP-142 b,266.97551999999996,17.14977
KELT-18 b,375.03703999999993,17.59813
K2-263 b,14.801249959999998,2.409935
WASP-148 b,92.48794799999999,8.092898
WASP-156 b,40.681984,5.71659
HATS-22 b,870.84872,10.682177
Kepler-18 c,17.162712,5.49241
Kepler-106 e,11.12398,2.555652
Kepler-79 e,4.1317639999999995,3.485999
Kepler-78 b,1.9673553199999998,1.1209
Kepler-17 b,778.6786,14.68379
Kepler-407 b,3.20052796,1.0648549999999999
HD 23472 c,17.1786034,2.152128
HATS-70 b,4099.9812,15.513255999999998
NGTS-2 b,235.19271999999998,17.878355
HATS-49 b,112.19328399999999,8.574885
HATS-35 b,388.385816,16.409976
TOI-776 b,4.00145452,1.849485
GJ 9827 c,0.8390659199999999,1.244199
MASCARA-1 b,1175.9636,16.813499999999998
KELT-23 A b,298.122664,14.829507
EPIC 249893012 c,14.670940479999999,3.665343
NGTS-8 b,295.58004,12.21781
KELT-11 b,54.348588,15.132150000000001
HAT-P-15 b,616.5863199999999,11.88154
Kepler-51 c,4.1317639999999995,9.000827000000001
Kepler-51 b,2.224796,7.0952969999999995
Kepler-54 b,292.40175999999997,2.096083
Kepler-415 b,119.82115599999999,1.210572
Kepler-414 b,3.4961079999999995,1.714977
Kepler-538 b,10.599563799999999,2.219382
Kepler-453 b,15.999461519999999,6.198577
WASP-101 b,162.09228,16.028869999999998
XO-7 b,225.34005199999996,15.389956999999999
KOI-1783.02,15.001481599999998,5.4363649999999994
Kepler-1655 b,4.99943444,2.208173
KELT-24 b,1646.3490399999998,14.257848
WASP-158 b,886.7401199999999,11.99363
K2-285 c,15.678455239999998,3.5308349999999997
WASP-161 b,791.39172,12.811887
WASP-180 A b,286.04519999999997,13.89916
TRAPPIST-1 e,0.6197645999999999,0.919138
KOI-1599.02,9.00088896,1.9055300000000002
NGTS-1 b,258.07633599999997,14.90797
EPIC 246193072 b,82.63528,8.675766
CoRoT-3 b,6884.154479999999,11.32109
HATS-4 b,420.48644399999995,11.43318
Kepler-29 c,4.50044448,2.342681
Kepler-29 b,4.99943444,2.544443
Kepler-32 b,1303.0947999999999,2.196964
Kepler-27 c,4386.0264,4.898333
HD 219134 b,4.7388154799999995,1.6028869999999997
Kepler-419 b,794.5699999999999,10.760639999999999
TrES-3 b,607.05148,14.975224
WASP-36 b,750.3919080000001,14.874343
WASP-84 b,220.57263199999997,10.558877999999998
WASP-72 b,731.0043999999999,14.45961
WASP-117 b,95.34839999999998,11.88154
TOI-125 c,6.629892079999999,2.757414
WASP-92 b,255.85154,16.376349
WASP-177 b,161.45662399999998,17.71022
CoRoT-21 b,718.2912799999999,14.5717
TOI-421 c,16.41899448,5.088886
KELT-12 b,301.93659999999994,19.95202
Kepler-128 b,0.7691437599999998,1.434752
Kepler-26 b,5.1202090799999995,2.779832
KOI-94 b,10.488324,1.714977
Kepler-105 c,4.59897116,1.311453
Kepler-114 c,2.8604519999999996,1.6028869999999997
