pname,pmass,pradius,smass,steff
K2-232 b,126.495544,11.209,1.19,6154.0
K2-266 d,8.899184,2.925549,0.69,4285.0
WASP-165 b,209.130824,14.123339999999999,1.25,5599.0
WASP-91 b,425.88952,11.54527,0.84,4920.0
LTT 3780 b,2.61890272,1.3338709999999998,0.4,3331.0
BD+20 594 b,22.24796,2.57807,1.67,5766.0
HAT-P-27 b,197.05335999999997,11.43318,0.94,5300.0
HAT-P-42 b,331.812432,14.34752,1.18,5743.0
Kepler-103 c,36.232392,5.144931,1.09,5845.0
HATS-10 b,167.177528,10.861521,1.1,5880.0
K2-24 c,15.398766599999998,7.498821,1.07,5625.0
Kepler-328 b,28.604519999999997,2.2978449999999997,1.1,5914.0
WASP-32 b,835.8876399999999,10.760639999999999,0.72,6140.0
TOI-905 b,211.991276,13.125739,0.97,5570.0
TOI-776 c,5.301371039999999,2.01762,0.54,3709.0
GJ 1252 b,2.0913082399999996,1.188154,0.38,3458.0
HATS-55 b,292.719588,14.022458999999998,1.2,6214.0
K2-216 b,7.999730759999999,1.748604,0.7,4503.0
WASP-81 b,231.696612,16.017661,1.08,5870.0
TRAPPIST-1 f,0.6801519199999999,1.042437,0.08,2559.0
EPIC 249893012 b,8.74980484,1.9503659999999998,1.05,5430.0
HATS-60 b,210.40213599999998,12.923977,1.1,5688.0
WASP-187 b,254.26239999999999,18.382759999999998,1.54,6150.0
K2-141 b,5.07889144,1.513215,0.71,4599.0
HAT-P-1 b,166.8597,14.784671,1.15,5980.0
CoRoT-6 b,940.7708799999999,13.069693999999998,1.05,6090.0
HAT-P-31 b,721.46956,12.21781,1.31,6065.0
Kepler-80 b,6.9286503999999995,2.6677419999999996,0.73,4540.0
Kepler-37 d,12.20141692,1.9391569999999998,0.87,5417.0
OGLE2-TR-L9 b,1430.2259999999999,18.046490000000002,1.52,6933.0
HATS-66 b,1694.02324,15.815899,1.41,6626.0
TOI-561 e,15.999461519999999,2.6677419999999996,0.79,5455.0
HATS-42 b,597.5166399999999,15.692599999999999,1.27,6060.0
WASP-142 b,266.97551999999996,17.14977,1.33,6010.0
KELT-18 b,375.03703999999993,17.59813,1.52,6670.0
K2-263 b,14.801249959999998,2.409935,0.88,5368.0
WASP-148 b,92.48794799999999,8.092898,1.0,5460.0
WASP-156 b,40.681984,5.71659,0.84,4910.0
HATS-22 b,870.84872,10.682177,0.76,4803.0
Kepler-18 c,17.162712,5.49241,0.97,5345.0
Kepler-106 e,11.12398,2.555652,1.0,5858.0
Kepler-79 e,4.1317639999999995,3.485999,1.17,6174.0
Kepler-78 b,1.9673553199999998,1.1209,0.84,5089.0
Kepler-17 b,778.6786,14.68379,1.16,5781.0
Kepler-407 b,3.20052796,1.0648549999999999,1.0,5476.0
HATS-70 b,4099.9812,15.513255999999998,1.78,7930.0
NGTS-2 b,235.19271999999998,17.878355,1.64,6478.0
HATS-49 b,112.19328399999999,8.574885,0.71,4405.0
HATS-35 b,388.385816,16.409976,1.32,6300.0
TOI-776 b,4.00145452,1.849485,0.54,3709.0
GJ 9827 c,0.8390659199999999,1.244199,0.61,4340.0
MASCARA-1 b,1175.9636,16.813499999999998,1.72,7554.0
KELT-23 A b,298.122664,14.829507,0.94,5899.0
EPIC 249893012 c,14.670940479999999,3.665343,1.05,5430.0
NGTS-8 b,295.58004,12.21781,0.89,5241.0
KELT-11 b,54.348588,15.132150000000001,1.44,5375.0
HAT-P-15 b,616.5863199999999,11.88154,1.0,5568.0
Kepler-51 c,4.1317639999999995,9.000827000000001,1.04,6018.0
Kepler-51 b,2.224796,7.0952969999999995,1.04,6018.0
Kepler-538 b,10.599563799999999,2.219382,0.89,5547.0
Kepler-453 b,15.999461519999999,6.198577,0.94,5527.0
WASP-101 b,162.09228,16.028869999999998,1.41,6380.0
XO-7 b,225.34005199999996,15.389956999999999,1.41,6250.0
KOI-1783.02,15.001481599999998,5.4363649999999994,1.08,5922.0
Kepler-1655 b,4.99943444,2.208173,1.03,6148.0
KELT-24 b,1646.3490399999998,14.257848,1.46,6509.0
WASP-158 b,886.7401199999999,11.99363,1.38,6350.0
K2-285 c,15.678455239999998,3.5308349999999997,0.83,4975.0
WASP-161 b,791.39172,12.811887,1.39,6400.0
WASP-180 A b,286.04519999999997,13.89916,1.3,6600.0
TRAPPIST-1 e,0.6197645999999999,0.919138,0.08,2559.0
NGTS-1 b,258.07633599999997,14.90797,0.62,3916.0
EPIC 246193072 b,82.63528,8.675766,0.9,5282.0
CoRoT-3 b,6884.154479999999,11.32109,1.37,6740.0
HATS-4 b,420.48644399999995,11.43318,1.0,5403.0
Kepler-29 c,4.50044448,2.342681,0.76,5378.0
Kepler-29 b,4.99943444,2.544443,0.76,5378.0
Kepler-32 b,1303.0947999999999,2.196964,0.58,3900.0
Kepler-27 c,4386.0264,4.898333,0.65,5400.0
HD 219134 b,4.7388154799999995,1.6028869999999997,0.81,4699.0
Kepler-419 b,794.5699999999999,10.760639999999999,1.39,6430.0
TrES-3 b,607.05148,14.975224,0.93,5650.0
WASP-36 b,750.3919080000001,14.874343,1.08,5959.0
WASP-84 b,220.57263199999997,10.558877999999998,0.84,5314.0
